account_id,changelog_impacts,changelog_impact_count,critical_impacts,high_impacts,has_deadline_pressure,changelog_risk_score
1010,"[{'changelog_item': 'REST Content Delivery API v2 endpoints will be sunset', 'category': 'deprecation', 'severity': 'high', 'deadline': '2026-03-31', 'action_required': 'Migrate to v4.x before March 31, 2026. See migration guide: docs.contentstack.com/migration/v3-to-v4', 'match_reasons': [""Account has ticket related to 'migration'""]}, {'changelog_item': 'Legacy Workflow Engine (v1) is now deprecated', 'category': 'deprecation', 'severity': 'high', 'deadline': '2026-02-28', 'action_required': 'Existing workflows will continue to function but cannot be edited after February 28, 2026', 'match_reasons': [""Account has ticket related to 'workflow'""]}, {'changelog_item': 'Legacy editor will be fully removed', 'category': 'deprecation', 'severity': 'high', 'deadline': '2026-05-00', 'action_required': 'Migrate to the new editor. Migration tool available at: tools.contentstack.com/editor-migration', 'match_reasons': [""Account has ticket related to 'editor'""]}, {'changelog_item': 'Breaking change: SDK v4.2.0+ changes the response envelope format', 'category': 'breaking_change', 'severity': 'critical', 'deadline': 'null', 'action_required': 'Update to response.data from response.entry', 'match_reasons': [""Account has ticket related to 'sdk'""]}, {'changelog_item': 'Fixed: SSO SAML assertion parsing for certain IdP configurations', 'category': 'bug_fix', 'severity': 'medium', 'deadline': 'null', 'action_required': 'null', 'match_reasons': [""Account has ticket related to 'sso'""]}]",5,1,3,True,100
1011,"[{'changelog_item': 'Legacy Workflow Engine (v1) is now deprecated', 'category': 'deprecation', 'severity': 'high', 'deadline': '2026-02-28', 'action_required': 'Existing workflows will continue to function but cannot be edited after February 28, 2026', 'match_reasons': [""Account has ticket related to 'workflow'""]}, {'changelog_item': 'Breaking change: SDK v4.2.0+ changes the response envelope format', 'category': 'breaking_change', 'severity': 'critical', 'deadline': 'null', 'action_required': 'Update to response.data from response.entry', 'match_reasons': [""Account has ticket related to 'sdk'""]}, {'changelog_item': 'Fixed: Locale fallback returning null for entries with circular references', 'category': 'bug_fix', 'severity': 'medium', 'deadline': 'null', 'action_required': 'null', 'match_reasons': [""Account has ticket related to 'locale'""]}]",3,1,1,True,60
1012,"[{'changelog_item': 'REST Content Delivery API v2 endpoints will be sunset', 'category': 'deprecation', 'severity': 'high', 'deadline': '2026-03-31', 'action_required': 'Migrate to v4.x before March 31, 2026. See migration guide: docs.contentstack.com/migration/v3-to-v4', 'match_reasons': [""Account has ticket related to 'migration'""]}, {'changelog_item': 'Legacy editor will be fully removed', 'category': 'deprecation', 'severity': 'high', 'deadline': '2026-05-00', 'action_required': 'Migrate to the new editor. Migration tool available at: tools.contentstack.com/editor-migration', 'match_reasons': [""Account has ticket related to 'migration'""]}, {'changelog_item': 'Fixed: Bulk publish timeout for libraries with >10,000 entries', 'category': 'bug_fix', 'severity': 'medium', 'deadline': 'null', 'action_required': 'null', 'match_reasons': [""Account has ticket related to 'bulk'""]}, {'changelog_item': 'Fixed: SSO SAML assertion parsing for certain IdP configurations', 'category': 'bug_fix', 'severity': 'medium', 'deadline': 'null', 'action_required': 'null', 'match_reasons': [""Account has ticket related to 'sso'""]}]",4,0,2,True,60
1013,"[{'changelog_item': 'Legacy editor will be fully removed', 'category': 'deprecation', 'severity': 'high', 'deadline': '2026-05-00', 'action_required': 'Migrate to the new editor. Migration tool available at: tools.contentstack.com/editor-migration', 'match_reasons': [""Account has ticket related to 'editor'""]}, {'changelog_item': 'SDK v3.x will stop receiving security patches', 'category': 'deprecation', 'severity': 'high', 'deadline': '2026-04-30', 'action_required': 'Upgrade to v4.2.3 or later', 'match_reasons': [""CSM notes mention 'security'""]}, {'changelog_item': 'Fixed: SSO SAML assertion parsing for certain IdP configurations', 'category': 'bug_fix', 'severity': 'medium', 'deadline': 'null', 'action_required': 'null', 'match_reasons': [""Account has ticket related to 'sso'""]}]",3,0,2,True,50
1014,"[{'changelog_item': 'Breaking change: SDK v4.2.0+ changes the response envelope format', 'category': 'breaking_change', 'severity': 'critical', 'deadline': 'null', 'action_required': 'Update to response.data from response.entry', 'match_reasons': [""Account has ticket related to 'sdk'""]}, {'changelog_item': 'Fixed: Bulk publish timeout for libraries with >10,000 entries', 'category': 'bug_fix', 'severity': 'medium', 'deadline': 'null', 'action_required': 'null', 'match_reasons': [""Account has ticket related to 'publish'""]}]",2,1,0,False,40
1015,[],0,0,0,False,0
1016,"[{'changelog_item': 'REST Content Delivery API v2 endpoints will be sunset', 'category': 'deprecation', 'severity': 'high', 'deadline': '2026-03-31', 'action_required': 'Migrate to v4.x before March 31, 2026. See migration guide: docs.contentstack.com/migration/v3-to-v4', 'match_reasons': [""Account has ticket related to 'migration'""]}, {'changelog_item': 'Legacy editor will be fully removed', 'category': 'deprecation', 'severity': 'high', 'deadline': '2026-05-00', 'action_required': 'Migrate to the new editor. Migration tool available at: tools.contentstack.com/editor-migration', 'match_reasons': [""Account has ticket related to 'migration'""]}, {'changelog_item': 'Fixed: Locale fallback returning null for entries with circular references', 'category': 'bug_fix', 'severity': 'medium', 'deadline': 'null', 'action_required': 'null', 'match_reasons': [""Account has ticket related to 'locale'""]}, {'changelog_item': 'Fixed: Bulk publish timeout for libraries with >10,000 entries', 'category': 'bug_fix', 'severity': 'medium', 'deadline': 'null', 'action_required': 'null', 'match_reasons': [""Account has ticket related to 'bulk'""]}, {'changelog_item': 'Fixed: SSO SAML assertion parsing for certain IdP configurations', 'category': 'bug_fix', 'severity': 'medium', 'deadline': 'null', 'action_required': 'null', 'match_reasons': [""Account has ticket related to 'sso'""]}]",5,0,2,True,70
1017,[],0,0,0,False,0
1018,"[{'changelog_item': 'REST Content Delivery API v2 endpoints will be sunset', 'category': 'deprecation', 'severity': 'high', 'deadline': '2026-03-31', 'action_required': 'Migrate to v4.x before March 31, 2026. See migration guide: docs.contentstack.com/migration/v3-to-v4', 'match_reasons': [""Account has ticket related to 'migration'""]}, {'changelog_item': 'Legacy editor will be fully removed', 'category': 'deprecation', 'severity': 'high', 'deadline': '2026-05-00', 'action_required': 'Migrate to the new editor. Migration tool available at: tools.contentstack.com/editor-migration', 'match_reasons': [""Account has ticket related to 'migration'""]}, {'changelog_item': 'SDK v3.x will stop receiving security patches', 'category': 'deprecation', 'severity': 'high', 'deadline': '2026-04-30', 'action_required': 'Upgrade to v4.2.3 or later', 'match_reasons': [""CSM notes mention 'security'""]}]",3,0,3,True,60
1019,[],0,0,0,False,0
1020,"[{'changelog_item': 'Legacy Workflow Engine (v1) is now deprecated', 'category': 'deprecation', 'severity': 'high', 'deadline': '2026-02-28', 'action_required': 'Existing workflows will continue to function but cannot be edited after February 28, 2026', 'match_reasons': [""Account has ticket related to 'workflow'""]}]",1,0,1,True,20
1021,"[{'changelog_item': 'Breaking change: SDK v4.2.0+ changes the response envelope format', 'category': 'breaking_change', 'severity': 'critical', 'deadline': 'null', 'action_required': 'Update to response.data from response.entry', 'match_reasons': [""Account has ticket related to 'sdk'""]}]",1,1,0,False,30
1022,[],0,0,0,False,0
1023,"[{'changelog_item': 'REST Content Delivery API v2 endpoints will be sunset', 'category': 'deprecation', 'severity': 'high', 'deadline': '2026-03-31', 'action_required': 'Migrate to v4.x before March 31, 2026. See migration guide: docs.contentstack.com/migration/v3-to-v4', 'match_reasons': [""Account has ticket related to 'migration'""]}, {'changelog_item': 'Legacy editor will be fully removed', 'category': 'deprecation', 'severity': 'high', 'deadline': '2026-05-00', 'action_required': 'Migrate to the new editor. Migration tool available at: tools.contentstack.com/editor-migration', 'match_reasons': [""Account has ticket related to 'migration'""]}]",2,0,2,True,40
1024,[],0,0,0,False,0
1025,[],0,0,0,False,0
1026,"[{'changelog_item': 'Webhook payload format v2 is now the default', 'category': 'breaking_change', 'severity': 'critical', 'deadline': 'null', 'action_required': 'Explicitly request v1 payloads via header X-Webhook-Version: 1', 'match_reasons': [""Account has ticket related to 'webhook'""]}]",1,1,0,False,30
1027,[],0,0,0,False,0
1028,"[{'changelog_item': 'REST Content Delivery API v2 endpoints will be sunset', 'category': 'deprecation', 'severity': 'high', 'deadline': '2026-03-31', 'action_required': 'Migrate to v4.x before March 31, 2026. See migration guide: docs.contentstack.com/migration/v3-to-v4', 'match_reasons': [""Account has ticket related to 'migration'""]}, {'changelog_item': 'Legacy editor will be fully removed', 'category': 'deprecation', 'severity': 'high', 'deadline': '2026-05-00', 'action_required': 'Migrate to the new editor. Migration tool available at: tools.contentstack.com/editor-migration', 'match_reasons': [""Account has ticket related to 'editor'""]}, {'changelog_item': 'Webhook payload format v2 is now the default', 'category': 'breaking_change', 'severity': 'critical', 'deadline': 'null', 'action_required': 'Explicitly request v1 payloads via header X-Webhook-Version: 1', 'match_reasons': [""Account has ticket related to 'webhook'""]}]",3,1,2,True,70
1029,"[{'changelog_item': 'Breaking change: SDK v4.2.0+ changes the response envelope format', 'category': 'breaking_change', 'severity': 'critical', 'deadline': 'null', 'action_required': 'Update to response.data from response.entry', 'match_reasons': [""Account has ticket related to 'sdk'""]}]",1,1,0,False,30
